"beer_receipts","cover_charge_receipts","inside_outside_city_limits_code_y_n","liquor_receipts","location_address","location_city","location_county","location_name","location_number","location_state","location_zip","obligation_end_date_yyyymmdd","responsibility_begin_date_yyyymmdd","responsibility_end_date_yyyymmdd","tabc_permit_number","taxpayer_address","taxpayer_city","taxpayer_county","taxpayer_name","taxpayer_number","taxpayer_state","taxpayer_zip","total_receipts","wine_receipts"
"40907","0","MB746923","19116","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2015-03-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","61734","1711"
"37444","0","MB746923","15653","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2016-01-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","54718","1621"
"64619","0","MB536413","23544","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2008-03-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","90509","2346"
"38199","0","MB746923","19035","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2016-04-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","58629","1395"
"53850","0","MB746923","25438","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2010-12-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","81767","2479"
"34017","0","MB746923","14565","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2017-01-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","50554","1972"
"61485","0","MB536413","22158","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2007-01-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","85985","2342"
"30325","0","MB746923","15434","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2016-02-29T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","47174","1415"
"58583","0","MB536413","29085","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2007-12-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","90568","2900"
"46738","0","MB746923","18034","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2014-01-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","66440","1668"
"46366","0","MB536413","15944","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2007-08-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","64522","2212"
"59142","0","MB746923","20052","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2010-09-30T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","81443","2249"
"45698","0","MB536413","20298","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2009-11-30T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","67736","1740"
"74396","0","MB536413","26577","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2007-09-30T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","103442","2469"
"123849","0","MB746923","119170","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2012-03-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","244620","1601"
"1280","0","MB536413","18710","922 W 12TH ST","AUSTIN","227","TAVERN","2","TX","78703","2009-03-31T00:00:00.000","2003-06-04T00:00:00.000","2010-04-26T00:00:00.000","Y","6101 GUN BOW CT","AUSTIN","227","THE TAVERN AT 12TH LP","13714564534","TX","78746","64673","44683"
"42643","0","MB746923","19470","922 W 12TH ST","AUSTIN","227","THE TAVERN","1","TX","78703","2017-10-31T00:00:00.000","2010-04-26T00:00:00.000",,"Y","1616 W 5TH ST","AUSTIN","227","TAVERN AUSTIN BEVERAGE COMPANY, LLC","32041141527","TX","78703","64690","2577"
